"Matomo","*g.src=u+matomo.js*"
"Piwik","*g.src=u+piwik.js*"
"Piwik Pro", "*g.src=u+"ppms.js*""
"Google Analytics","*/gtag/js?id=*"
"Tealium","*Tealium_utag-RenderTealium*"
"Etracker","*//static.etracker.com/code/e.js*"
"YooChoose Tracker","*//event.yoochoose.net*"
"Adobe Analytics","*assetAnalytics.core.assetLoaded(this)*"
"Adobe Analytics","*s.campaign = s.Util.getQueryParam*"
"Awin Tracking","*AWIN.Tracking = {};*"
"Yandex Metrika","*src="/metrika.js"*
"Adform Tracking","*window._adftrack =*"
"Google Adsense","*pagead2.googlesyndication.com*"
"WP Statistics","*[[wpstatistics stat*"
"Hotjar Tracking","*static/hotjar.*"
"Baidu Webmaster Tools","*baidu-site-verification*"
"Monsterinsights","*data-vars-ga-category=*"
"Criteo Tracking","*dynamic.criteo.com*"
"Addthis","*addthis.com*"
"WP Analytify","*wp analytify*"
"Yahoo Gemini analytics","*s.yimg.com/wi/ytc.js*"
